source_file,event_timestamp,calib_horizontal_ratio,calib_vertical_ratio,calib_head_neutral_yaw,calib_head_neutral_pitch,t_gaze_outside_frames,f_gaze_exits,NR_gaze_reversals,NH_head_suspicious,label
behavior_log1.json,2025-05-21 18:47:13,,,,,12,4,8,0,0
behavior_log1.json,2025-05-21 18:47:15,,,,,12,4,8,0,0
behavior_log1.json,2025-05-21 18:47:16,,,,,12,4,8,0,0
behavior_log1.json,2025-05-21 18:47:18,,,,,12,5,12,0,0
behavior_log1.json,2025-05-21 18:47:20,,,,,14,4,11,0,0
behavior_log1.json,2025-05-21 18:47:22,,,,,16,3,6,0,0
behavior_log1.json,2025-05-21 18:47:26,,,,,11,2,3,0,0
behavior_log1.json,2025-05-21 18:47:30,,,,,9,4,11,0,0
behavior_log1.json,2025-05-21 18:47:32,,,,,3,2,4,0,0
behavior_log1.json,2025-05-21 18:47:35,,,,,8,3,6,0,0
behavior_log1.json,2025-05-21 18:47:42,,,,,11,7,14,0,1
behavior_log1.json,2025-05-21 18:47:44,,,,,8,5,9,0,1
behavior_log1.json,2025-05-21 18:47:46,,,,,12,3,6,0,1
behavior_log1.json,2025-05-21 18:47:48,,,,,17,4,7,0,1
behavior_log1.json,2025-05-21 18:47:56,,,,,11,2,3,0,1
behavior_log1.json,2025-05-21 18:47:58,,,,,20,1,1,0,1
behavior_log1.json,2025-05-21 18:48:09,,,,,8,6,11,0,1
behavior_log1.json,2025-05-21 18:48:17,,,,,12,5,9,0,1
behavior_log1.json,2025-05-21 18:48:19,,,,,10,5,8,0,1
behavior_log1.json,2025-05-21 18:48:22,,,,,15,4,7,0,1
behavior_log1.json,2025-05-21 18:48:34,,,,,12,5,10,0,1
behavior_log1.json,2025-05-21 18:48:39,,,,,10,5,14,0,1
behavior_log1.json,2025-05-21 18:48:45,,,,,9,3,7,0,1
behavior_log1.json,2025-05-21 18:48:57,,,,,13,3,5,0,1
behavior_log1.json,2025-05-21 19:01:32,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:01:38,,,,,13,4,7,0,0
behavior_log1.json,2025-05-21 19:01:48,,,,,11,3,6,0,0
behavior_log1.json,2025-05-21 19:02:45,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:02:47,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:02:48,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:02:49,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:02:52,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:02:56,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:02:57,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:02:58,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:03:04,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:03:07,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:03:09,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 19:03:11,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:12,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:14,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:15,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:17,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:19,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:20,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:21,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:22,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:23,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:25,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:26,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:28,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:29,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:31,,,,,14,4,7,0,0
behavior_log1.json,2025-05-21 19:03:34,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:35,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:03:40,,,,,14,3,6,0,1
behavior_log1.json,2025-05-21 19:03:53,,,,,10,1,1,0,0
behavior_log1.json,2025-05-21 19:03:56,,,,,16,4,6,0,0
behavior_log1.json,2025-05-21 19:03:57,,,,,18,2,2,0,0
behavior_log1.json,2025-05-21 19:03:59,,,,,20,1,0,0,0
behavior_log1.json,2025-05-21 19:04:01,,,,,12,3,6,0,0
behavior_log1.json,2025-05-21 19:04:03,,,,,12,3,6,0,0
behavior_log1.json,2025-05-21 19:04:07,,,,,12,3,6,0,0
behavior_log1.json,2025-05-21 19:04:11,,,,,12,3,6,0,0
behavior_log1.json,2025-05-21 19:04:12,,,,,12,3,6,0,0
behavior_log1.json,2025-05-21 19:04:13,,,,,12,3,6,0,0
behavior_log1.json,2025-05-21 19:04:18,,,,,12,3,6,0,0
behavior_log1.json,2025-05-21 19:04:19,,,,,12,3,6,0,0
behavior_log1.json,2025-05-21 19:04:23,,,,,11,2,4,0,0
behavior_log1.json,2025-05-21 19:04:26,,,,,11,2,4,0,0
behavior_log1.json,2025-05-21 19:04:28,,,,,11,2,4,0,0
behavior_log1.json,2025-05-21 19:04:29,,,,,11,2,4,0,0
behavior_log1.json,2025-05-21 19:04:32,,,,,11,2,4,0,0
behavior_log1.json,2025-05-21 19:04:33,,,,,11,2,4,0,0
behavior_log1.json,2025-05-21 19:04:35,,,,,11,2,4,0,0
behavior_log1.json,2025-05-21 19:04:37,,,,,17,4,6,0,0
behavior_log1.json,2025-05-21 19:04:41,,,,,14,2,3,0,1
behavior_log1.json,2025-05-21 19:04:43,,,,,19,2,2,0,1
behavior_log1.json,2025-05-21 19:04:45,,,,,18,3,4,0,1
behavior_log1.json,2025-05-21 19:04:47,,,,,19,2,2,0,1
behavior_log1.json,2025-05-21 19:04:49,,,,,20,1,0,0,1
behavior_log1.json,2025-05-21 19:04:58,,,,,11,2,3,0,0
behavior_log1.json,2025-05-21 19:05:01,,,,,15,3,4,0,0
behavior_log1.json,2025-05-21 19:05:03,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:05,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:22,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:25,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:27,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:29,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:30,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:32,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:33,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:34,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:37,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:38,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:41,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:42,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:43,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:44,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:45,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:46,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:49,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:50,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:52,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:53,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:55,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:56,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:57,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:05:58,,,,,18,3,4,0,0
behavior_log1.json,2025-05-21 19:07:35,,,,,12,3,5,0,0
behavior_log1.json,2025-05-21 19:07:38,,,,,16,5,8,0,0
behavior_log1.json,2025-05-21 19:07:42,,,,,16,5,8,0,0
behavior_log1.json,2025-05-21 19:07:44,,,,,16,5,8,0,0
behavior_log1.json,2025-05-22 16:21:02,,,,,11,2,3,0,1
behavior_log1.json,2025-05-22 16:21:15,,,,,12,2,5,0,0
behavior_log1.json,2025-05-22 16:21:17,,,,,17,3,4,0,0
behavior_log1.json,2025-05-22 16:21:19,,,,,20,1,0,0,0
behavior_log1.json,2025-05-22 16:21:22,,,,,20,1,0,0,0
behavior_log1.json,2025-05-22 16:21:24,,,,,20,1,0,0,0
behavior_log1.json,2025-05-22 16:21:27,,,,,18,2,3,0,0
behavior_log1.json,2025-05-22 16:21:30,,,,,18,2,3,0,0
behavior_log1.json,2025-05-22 16:21:38,,,,,14,3,4,0,0
behavior_log1.json,2025-05-22 16:21:41,,,,,14,3,4,0,1
behavior_log1.json,2025-05-22 16:21:43,,,,,20,1,0,0,1
behavior_log1.json,2025-05-22 16:21:48,,,,,13,4,7,0,1
behavior_log1.json,2025-05-22 16:22:13,,,,,12,3,8,0,0
behavior_log1.json,2025-05-22 16:22:17,,,,,13,3,5,0,1
behavior_log1.json,2025-05-22 16:22:19,,,,,20,1,0,0,1
behavior_log1.json,2025-05-22 16:22:21,,,,,19,2,2,0,1
behavior_log1.json,2025-05-22 16:22:29,,,,,14,3,4,0,0
behavior_log1.json,2025-05-22 16:22:35,,,,,13,4,6,0,0
behavior_log1.json,2025-05-22 16:22:44,,,,,8,3,6,0,0
behavior_log1.json,2025-05-22 16:23:18,,,,,13,6,11,0,0
behavior_log1.json,2025-05-22 16:23:29,,,,,14,5,9,0,1
behavior_log1.json,2025-05-22 16:23:42,,,,,10,1,1,0,0
behavior_log1.json,2025-05-22 16:23:46,,,,,13,3,4,0,0
behavior_log1.json,2025-05-22 16:23:48,,,,,20,1,0,0,0
behavior_log1.json,2025-05-22 16:23:50,,,,,20,1,0,0,0
behavior_log1.json,2025-05-22 16:23:53,,,,,20,1,0,0,0
behavior_log1.json,2025-05-22 16:23:55,,,,,20,1,0,0,0
behavior_log1.json,2025-05-22 16:23:57,,,,,19,2,2,0,1
behavior_log1.json,2025-05-22 16:23:59,,,,,19,2,2,0,1
