source_file,event_timestamp,calib_horizontal_ratio,calib_vertical_ratio,calib_head_neutral_yaw,calib_head_neutral_pitch,window_start,window_end,window_size,gaze_horizontal_deviation_mean,gaze_horizontal_deviation_std,gaze_horizontal_deviation_min,gaze_horizontal_deviation_max,gaze_vertical_deviation_mean,gaze_vertical_deviation_std,gaze_vertical_deviation_min,gaze_vertical_deviation_max,gaze_total_deviation_mean,gaze_total_deviation_std,gaze_total_deviation_min,gaze_total_deviation_max,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_horizontal_ratio_min,gaze_horizontal_ratio_max,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,gaze_vertical_ratio_min,gaze_vertical_ratio_max,gaze_angle_from_real_center_mean,gaze_angle_from_real_center_std,gaze_angle_from_real_center_min,gaze_angle_from_real_center_max,gaze_angle_from_calibrated_center_mean,gaze_angle_from_calibrated_center_std,gaze_angle_from_calibrated_center_min,gaze_angle_from_calibrated_center_max,head_yaw_deviation_mean,head_yaw_deviation_std,head_yaw_deviation_min,head_yaw_deviation_max,head_pitch_deviation_mean,head_pitch_deviation_std,head_pitch_deviation_min,head_pitch_deviation_max,head_is_suspicious_mean,head_is_suspicious_std,head_is_suspicious_min,head_is_suspicious_max,label
behavior_log4.json,2026-05-18 09:41:35,,,,,2026-05-18 09:41:35,2026-05-18 09:42:01,10,0.040786,0.010375,0.02569754695588533,0.06920642778094255,0.175917,0.06181,0.09004050073637693,0.3306249163207924,0.180873,0.061833,0.0974840959551078,0.3372607871983842,0.629107,0.010375,0.61401833460657,0.6575272154316272,0.909686,0.06181,0.8238095238095238,1.0643939393939392,72.304896,1.775598,68.62283722324743,74.80159816281018,76.155015,3.718896,66.88687309518629,80.13336125790177,-1.420914,4.066955,-6.373312326630572,8.971020536098465,-1.568532,0.905903,-2.8955832429918757,1.784034447217465,0.0,0.0,0.0,0.0,1
behavior_log4.json,2026-05-18 09:42:04,,,,,2026-05-18 09:42:04,2026-05-18 09:42:33,10,0.042036,0.016405,0.01338353044018803,0.07370652327368521,0.195529,0.07783,0.08262291831879465,0.36246113565701177,0.200156,0.079138,0.08546340342341212,0.36987934037313436,0.630357,0.016405,0.6017043180908727,0.6620273109243698,0.929298,0.07783,0.8163919413919415,1.0962301587301586,72.924843,1.438921,69.7408481456313,75.64146704229005,77.616624,2.654195,70.70503538307953,82.70426684921843,0.140696,4.1238,-5.615280116691768,11.033591181681683,-1.215263,1.529936,-3.5618006461864695,1.784034447217465,0.0,0.0,0.0,0.0,1
behavior_log4.json,2026-05-18 09:42:35,,,,,2026-05-18 09:42:35,2026-05-18 09:44:31,10,0.028645,0.034119,-0.033218781120402774,0.0735287578860051,0.20561,0.07823,-0.015500992063492092,0.36034934807256236,0.210913,0.076784,0.024421119724577424,0.36326372458096823,0.638076,0.019328,0.6048615279445111,0.6840028627843754,1.012605,0.080941,0.8908730158730158,1.2667233560090703,74.578895,3.128498,66.65084466136476,80.75091661012183,79.281421,19.206007,-26.82471209660213,101.77581582606304,3.604919,5.452444,-5.899167590886649,18.981387580721194,5.830029,16.980383,-1.4348950583553517,75.67044347657811,0.126667,0.332599,0.0,1.0,1
behavior_log4.json,2026-05-18 09:44:32,,,,,2026-05-18 09:44:32,2026-05-18 09:46:19,10,-0.012115,0.027512,-0.07217042238296834,0.05918878122993931,0.077495,0.090037,-0.07185019841269835,0.2495528525419829,0.103501,0.0656,0.009427355857169301,0.2516344791673437,0.629226,0.031341,0.5659098866819455,0.7281406864740197,0.978386,0.087014,0.8345238095238096,1.1523809523809523,74.576746,4.286612,64.84018327495193,82.19404571830425,46.756423,94.900447,-175.72928634409018,166.47831573958098,7.07553,10.659939,-12.302988818116708,18.981387580721194,4.605414,2.833504,0.1626465306329692,14.389444983432583,0.42,0.493559,0.0,1.0,1
behavior_log4.json,2026-05-18 09:46:28,,,,,2026-05-18 09:46:28,2026-05-18 09:48:36,10,0.018571,0.048299,-0.06976557937835104,0.08995923308414311,0.051087,0.105524,-0.17133615599017382,0.2495528525419829,0.120015,0.044935,0.021528334875721988,0.2516344791673437,0.662174,0.046863,0.5727110208631948,0.7281406864740197,0.927964,0.118929,0.6819727891156463,1.0789115646258503,68.707613,5.604419,45.28273292085315,77.79782501274329,28.039756,83.780733,-137.18825137288573,178.32059436345867,2.930146,9.976026,-22.148981536151837,18.96356061426207,20.960028,41.860866,0.043980565519973425,210.877388186845,0.406667,0.491212,0.0,1.0,1
behavior_log4.json,2026-05-18 09:48:40,,,,,2026-05-18 09:48:40,2026-05-18 09:49:13,10,-0.003942,0.0239,-0.042666266441064304,0.05891913046452968,0.046023,0.187526,-0.26045180224867726,0.3307046603363567,0.173836,0.087475,0.02158165340295056,0.3326934432971237,0.638535,0.0239,0.5998103338004815,0.7013957307060755,0.899332,0.187526,0.5928571428571429,1.1840136054421768,65.19885,15.303583,29.101107968418646,81.60338240946709,23.012916,83.268148,-97.65996629151097,105.19004291541569,4.09755,2.978678,-0.33415602887350193,10.827005914769238,3.684093,1.050553,1.8137712656488532,6.06958907741344,0.0,0.0,0.0,0.0,1
behavior_log4.json,2026-05-18 09:49:23,,,,,2026-05-18 09:49:23,2026-05-18 09:50:16,10,0.03111,0.035777,-0.030687171826501713,0.09113746830022018,-0.016038,0.148231,-0.16203910383597886,0.3225413950302344,0.141882,0.06593,0.015916574788322244,0.3226323611883931,0.673587,0.035777,0.6117894284150441,0.733614068541766,0.837271,0.148231,0.6912698412698413,1.1758503401360545,59.305221,12.680759,39.65651195874727,78.71895462162155,-11.009325,77.828254,-134.34356630489685,176.54002126345088,3.348316,3.957236,-1.9902904831677306,11.668395237109774,5.280155,1.205307,2.0266640263172064,7.9817785557739,0.0,0.0,0.0,0.0,1
behavior_log4.json,2026-05-18 09:50:17,,,,,2026-05-18 09:50:17,2026-05-18 09:52:25,10,-0.042183,0.073775,-0.20273649203784638,0.07689356161630079,0.091072,0.158569,-0.24098046195222278,0.3225413950302344,0.186346,0.077043,0.015800896386992006,0.3226323611883931,0.634063,0.054265,0.5157213931844473,0.7288874778117657,1.020799,0.155602,0.7436507936507937,1.3057823129251702,73.807851,9.700148,49.00274829018972,88.25653945114315,48.174603,100.511919,-177.52795292326806,177.4150411981888,12.068957,6.653745,0.9532864836346517,23.747340692438065,7.489636,1.733207,3.459634576776949,13.261519268225243,0.36,0.48,0.0,1.0,1
behavior_log4.json,2026-05-18 09:52:34,,,,,2026-05-18 09:52:34,2026-05-18 09:52:54,10,-0.114442,0.03386,-0.18956085632526487,-0.04504812912244549,-0.075168,0.083338,-0.21997706059167854,0.1257712387280494,0.159095,0.039087,0.08223179532245917,0.2323215246701331,0.604015,0.03386,0.5288970288970288,0.6734097560998482,0.950081,0.083338,0.8052721088435374,1.1510204081632653,76.12529,5.942853,64.78683377937804,87.45846412318765,-102.234016,99.277602,-172.78448855412455,169.58950911502146,13.845694,5.320534,-3.6798381653567604,19.559621392590945,10.445979,12.827745,3.22754883500437,72.8868465655718,0.773333,0.418675,0.0,1.0,1
behavior_log4.json,2026-05-18 09:52:57,,,,,2026-05-18 09:52:57,2026-05-18 09:53:18,10,-0.064164,0.040173,-0.12162812767825049,0.05211903785462946,-0.186801,0.064498,-0.3815416864420186,-0.036473659231134214,0.205331,0.051233,0.10561729653208435,0.3850849939947179,0.654294,0.040173,0.5968297575440432,0.7705769230769232,0.838448,0.064498,0.6437074829931974,0.9887755102040817,64.730139,9.426155,27.973445014975255,78.36244498270985,-112.454293,17.260472,-159.79757398050674,-82.22147361434887,12.362308,9.443989,-8.640733354210226,27.236880784977934,65.803625,73.821695,5.147364100674395,207.5259402879846,0.9,0.3,0.0,1.0,1
behavior_log4.json,2026-05-18 09:53:19,,,,,2026-05-18 09:53:19,2026-05-18 09:55:23,10,-0.031555,0.041843,-0.08985084411525268,0.05211903785462946,-0.196569,0.14581,-0.3815416864420186,0.2495528525419829,0.240025,0.070957,0.09982696325974488,0.3850849939947179,0.684504,0.040878,0.628607041107041,0.7705769230769232,0.80577,0.093763,0.6437074829931974,1.0587962962962962,57.288646,12.720391,27.973445014975255,70.58439099709015,-80.280863,61.101827,-116.88881666813549,117.67802429875034,18.640582,9.73722,-11.348800122345473,28.675186053401816,13.315537,17.532575,0.44984761637758197,146.95180230816703,0.9,0.3,0.0,1.0,1
behavior_log4.json,2026-05-18 09:55:33,,,,,2026-05-18 09:55:33,2026-05-18 09:56:23,10,0.017381,0.037231,-0.04636986604377902,0.15320863785154448,-0.152788,0.15809,-0.29850056689342397,0.2495528525419829,0.2166,0.055761,0.09264776194440011,0.2985496805892064,0.712065,0.037113,0.6494708994708995,0.8476902710733951,1.104566,0.09579,0.8976473922902495,1.4119897959183674,70.632885,1.657077,64.99795239971283,73.59994986250285,-52.547808,66.314802,-92.20931240159925,117.67802429875034,-12.719239,4.762258,-22.0505588456679,-3.3766758329195543,4.870199,2.486296,0.05649751553949045,14.389444983432583,0.546667,0.497817,0.0,1.0,1
behavior_log4.json,2026-05-18 09:56:25,,,,,2026-05-18 09:56:25,2026-05-18 09:58:01,10,0.009492,0.045897,-0.11651731998338877,0.07805829971591915,-0.211575,0.053079,-0.29850056689342397,-0.0597920037313977,0.217235,0.050861,0.08250382077689188,0.2985496805892064,0.696593,0.056301,0.5690572196620584,0.7725399329377698,1.064713,0.126794,0.7134920634920635,1.1841836734693878,70.580463,4.251032,61.73239003292803,82.46336269950422,-88.588326,14.512084,-133.55460644416337,-62.75470531877041,-11.853559,6.728117,-20.715207856367066,12.404063623599917,16.734307,25.241606,1.3230964011213757,77.9788569570487,0.74,0.438634,0.0,1.0,1
behavior_log4.json,2026-05-18 09:58:23,,,,,2026-05-18 09:58:23,2026-05-18 09:59:02,10,0.012054,0.017455,-0.014807090182507365,0.04886699875228795,-0.169761,0.030873,-0.20999041642981042,-0.11217295611235001,0.171478,0.028587,0.12119710544075192,0.21003986947851858,0.646568,0.017455,0.6197070819428995,0.6833811708776948,0.68269,0.030873,0.6424603174603174,0.7402777777777778,51.048463,2.4203,44.93484244066616,54.93060124081379,-84.769652,7.679091,-94.40688965823466,-66.89762345055536,12.74561,5.325921,0.34597816991390573,23.617046794338574,3.842484,2.843934,-0.19281213933788877,10.931714774610896,0.553333,0.497147,0.0,1.0,1
behavior_log4.json,2026-05-18 09:59:06,,,,,2026-05-18 09:59:06,2026-05-18 09:59:40,10,0.001861,0.009668,-0.01636503816704049,0.04416319426052462,-0.230451,0.019948,-0.25879994023933417,-0.15959359103298498,0.230689,0.019628,0.16559137062690343,0.25879994385150384,0.636375,0.009668,0.6181491339583663,0.6786773663859315,0.621999,0.019948,0.5936507936507937,0.6928571428571428,41.56408,4.672071,34.837582656894725,50.35557588361066,-89.486488,2.747432,-94.1697009193115,-74.53201713993876,12.147469,4.042495,0.34597816991390573,18.675357594880342,4.636391,2.579715,2.1359965950449578,13.666620470532251,0.653333,0.475908,0.0,1.0,1
behavior_log4.json,2026-05-18 09:59:43,,,,,2026-05-18 09:59:43,2026-05-18 10:00:23,10,0.01937,0.029094,-0.04636986604377902,0.06608437652653443,-0.120996,0.126824,-0.2746729561123501,0.2495528525419829,0.17246,0.046941,0.09363900504432726,0.2747168823700547,0.66214,0.029756,0.6210498437417236,0.7281406864740197,0.725638,0.113543,0.5777777777777777,1.0587962962962962,51.548634,8.217547,30.96920873083055,70.58439099709015,-55.510869,60.45004,-93.76084850737615,117.67802429875034,9.417905,6.995603,-11.348800122345473,18.675357594880342,5.056689,2.172165,0.44984761637758197,14.389444983432583,0.42,0.493559,0.0,1.0,1
behavior_log4.json,2026-05-18 10:01:32,,,,,2026-05-18 10:01:32,2026-05-18 10:02:34,10,-0.029222,0.021546,-0.06898401257736297,0.010415971496534171,-0.046035,0.140907,-0.20708049886621305,0.3804761904761904,0.135128,0.07094,0.04791837029679133,0.3805386376947026,0.686289,0.021546,0.6465269151138716,0.7259268991877688,0.933013,0.140907,0.7719671201814059,1.3595238095238094,65.308067,6.448319,53.02009922688,76.35740424578731,-73.259613,84.63222,-166.1219847098681,131.33165313630644,1.417809,6.107925,-8.752429616326262,13.041308781377978,79.09126,121.556381,-29.01308446091943,326.762098059512,0.98,0.14,0.0,1.0,1
behavior_log4.json,2026-05-18 10:02:35,,,,,2026-05-18 10:02:35,2026-05-18 10:03:06,10,-0.033174,0.02025,-0.07477952141635003,-0.0032123928926998113,-0.12829,0.087807,-0.2695238095238094,0.016814058956916123,0.14205,0.074166,0.035113363615983266,0.2709443810310343,0.682337,0.02025,0.6407314062748846,0.7122985347985348,0.850758,0.087807,0.7095238095238096,0.9958616780045351,61.193999,7.987055,46.36194887115916,74.09499058439914,-83.698547,80.988873,-168.49051997264655,173.81021534190472,5.194344,3.759555,-2.663619947053848,13.041308781377978,-22.778113,21.79928,-29.082544216130884,114.13995358622623,1.0,0.0,1.0,1.0,1
behavior_log4.json,2026-05-18 10:03:08,,,,,2026-05-18 10:03:08,2026-05-18 10:03:28,10,-0.040794,0.019364,-0.06889920607951294,0.01014841296810609,-0.180826,0.043265,-0.2695238095238094,-0.0020634920634919895,0.18713,0.039892,0.02752976303399623,0.2709443810310343,0.674717,0.019364,0.6466117216117216,0.7256593406593407,0.798222,0.043265,0.7095238095238096,0.976984126984127,59.269346,5.316473,46.68504727576798,68.936925531638,-104.164661,10.645352,-175.70136604808192,-86.29479306168211,5.827039,2.615511,1.5299585818712773,11.173411793873228,-27.39668,1.023167,-29.082544216130884,-25.60373963120165,1.0,0.0,1.0,1.0,1
